# Team 0: PlayerAgent, Team 1: ProbabilityAgent
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,CALL,0,0,0,"['9s', 'Ah', '9h', 'As', '7d']","['7h', '6s', '8s', '5d', '5h']",[],[],[],1,1
0,Pre-Flop,1,0,0,CHECK,0,0,0,"['9s', 'Ah', '9h', 'As', '7d']","['7h', '6s', '8s', '5d', '5h']",[],[],[],2,2
0,Flop,1,0,0,DISCARD,0,3,4,"['9s', 'Ah', '9h', 'As', '7d']","['7h', '6s', '8s', '5d', '5h']","['2h', 'Ad', '3s']",[],[],2,2
0,Flop,0,0,0,DISCARD,0,1,3,"['9s', 'Ah', '9h', 'As', '7d']","['5d', '5h']","['2h', 'Ad', '3s']",[],"['7h', '6s', '8s']",2,2
0,Flop,1,0,0,CHECK,0,0,0,"['Ah', 'As']","['5d', '5h']","['2h', 'Ad', '3s']","['9s', '9h', '7d']","['7h', '6s', '8s']",2,2
0,Flop,0,0,0,RAISE,3,0,0,"['Ah', 'As']","['5d', '5h']","['2h', 'Ad', '3s']","['9s', '9h', '7d']","['7h', '6s', '8s']",2,2
0,Flop,1,0,0,CALL,0,0,0,"['Ah', 'As']","['5d', '5h']","['2h', 'Ad', '3s']","['9s', '9h', '7d']","['7h', '6s', '8s']",2,2
0,Turn,1,0,0,RAISE,5,0,0,"['Ah', 'As']","['5d', '5h']","['2h', 'Ad', '3s', '5s']","['9s', '9h', '7d']","['7h', '6s', '8s']",5,5
0,Turn,0,0,0,CALL,0,0,0,"['Ah', 'As']","['5d', '5h']","['2h', 'Ad', '3s', '5s']","['9s', '9h', '7d']","['7h', '6s', '8s']",5,5
0,River,1,0,0,CHECK,0,0,0,"['Ah', 'As']","['5d', '5h']","['2h', 'Ad', '3s', '5s', '4d']","['9s', '9h', '7d']","['7h', '6s', '8s']",10,10
0,River,0,0,0,CHECK,0,0,0,"['Ah', 'As']","['5d', '5h']","['2h', 'Ad', '3s', '5s', '4d']","['9s', '9h', '7d']","['7h', '6s', '8s']",10,10
1,Pre-Flop,1,0,0,CALL,0,0,0,"['6d', '9h', '5h', '7d', '4d']","['Ad', '9d', '3h', '4h', 'Ah']",[],[],[],1,1
1,Pre-Flop,0,0,0,CHECK,0,0,0,"['6d', '9h', '5h', '7d', '4d']","['Ad', '9d', '3h', '4h', 'Ah']",[],[],[],2,2
1,Flop,0,0,0,DISCARD,0,0,3,"['6d', '9h', '5h', '7d', '4d']","['Ad', '9d', '3h', '4h', 'Ah']","['5d', 'As', '8d']",[],[],2,2
1,Flop,1,0,0,DISCARD,0,0,4,"['6d', '7d']","['Ad', '9d', '3h', '4h', 'Ah']","['5d', 'As', '8d']","['9h', '5h', '4d']",[],2,2
1,Flop,0,0,0,CHECK,0,0,0,"['6d', '7d']","['Ad', 'Ah']","['5d', 'As', '8d']","['9h', '5h', '4d']","['9d', '3h', '4h']",2,2
1,Flop,1,0,0,RAISE,2,0,0,"['6d', '7d']","['Ad', 'Ah']","['5d', 'As', '8d']","['9h', '5h', '4d']","['9d', '3h', '4h']",2,2
1,Flop,0,0,0,CALL,0,0,0,"['6d', '7d']","['Ad', 'Ah']","['5d', 'As', '8d']","['9h', '5h', '4d']","['9d', '3h', '4h']",2,2
1,Turn,0,0,0,CHECK,0,0,0,"['6d', '7d']","['Ad', 'Ah']","['5d', 'As', '8d', '2s']","['9h', '5h', '4d']","['9d', '3h', '4h']",4,4
1,Turn,1,0,0,RAISE,4,0,0,"['6d', '7d']","['Ad', 'Ah']","['5d', 'As', '8d', '2s']","['9h', '5h', '4d']","['9d', '3h', '4h']",4,4
