# Team 0: Uncountable Sean Jacksons, Team 1: WW
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,CALL,0,0,0,"['8h', '5h', '7h', '2d', '3d']","['6d', '2s', '7d', '5d', 'As']",[],[],[],1,1
0,Pre-Flop,1,0,0,RAISE,6,0,0,"['8h', '5h', '7h', '2d', '3d']","['6d', '2s', '7d', '5d', 'As']",[],[],[],2,2
0,Pre-Flop,0,0,0,FOLD,0,0,0,"['8h', '5h', '7h', '2d', '3d']","['6d', '2s', '7d', '5d', 'As']",[],[],[],2,2
1,Pre-Flop,1,-2,2,CALL,0,0,0,"['8d', 'Ah', '4h', '8h', '2h']","['2d', '3h', '3d', '5h', 'As']",[],[],[],1,1
1,Pre-Flop,0,-2,2,CHECK,0,0,0,"['8d', 'Ah', '4h', '8h', '2h']","['2d', '3h', '3d', '5h', 'As']",[],[],[],2,2
1,Flop,0,-2,2,DISCARD,0,0,3,"['8d', 'Ah', '4h', '8h', '2h']","['2d', '3h', '3d', '5h', 'As']","['6h', '9s', '4d']",[],[],2,2
1,Flop,1,-2,2,DISCARD,0,2,3,"['8d', '8h']","['2d', '3h', '3d', '5h', 'As']","['6h', '9s', '4d']","['Ah', '4h', '2h']",[],2,2
1,Flop,0,-2,2,CHECK,0,0,0,"['8d', '8h']","['3d', '5h']","['6h', '9s', '4d']","['Ah', '4h', '2h']","['2d', '3h', 'As']",2,2
1,Flop,1,-2,2,CHECK,0,0,0,"['8d', '8h']","['3d', '5h']","['6h', '9s', '4d']","['Ah', '4h', '2h']","['2d', '3h', 'As']",2,2
1,Turn,0,-2,2,CHECK,0,0,0,"['8d', '8h']","['3d', '5h']","['6h', '9s', '4d', '3s']","['Ah', '4h', '2h']","['2d', '3h', 'As']",2,2
1,Turn,1,-2,2,CHECK,0,0,0,"['8d', '8h']","['3d', '5h']","['6h', '9s', '4d', '3s']","['Ah', '4h', '2h']","['2d', '3h', 'As']",2,2
1,River,0,-2,2,CHECK,0,0,0,"['8d', '8h']","['3d', '5h']","['6h', '9s', '4d', '3s', '7d']","['Ah', '4h', '2h']","['2d', '3h', 'As']",2,2
1,River,1,-2,2,RAISE,8,0,0,"['8d', '8h']","['3d', '5h']","['6h', '9s', '4d', '3s', '7d']","['Ah', '4h', '2h']","['2d', '3h', 'As']",2,2
1,River,0,-2,2,FOLD,0,0,0,"['8d', '8h']","['3d', '5h']","['6h', '9s', '4d', '3s', '7d']","['Ah', '4h', '2h']","['2d', '3h', 'As']",2,2
2,Pre-Flop,0,-4,4,CALL,0,0,0,"['8d', '9d', '9h', '9s', '5d']","['3h', '8h', '3s', '3d', '6s']",[],[],[],1,1
2,Pre-Flop,1,-4,4,CHECK,0,0,0,"['8d', '9d', '9h', '9s', '5d']","['3h', '8h', '3s', '3d', '6s']",[],[],[],2,2
2,Flop,1,-4,4,DISCARD,0,1,4,"['8d', '9d', '9h', '9s', '5d']","['3h', '8h', '3s', '3d', '6s']","['8s', '7s', 'Ad']",[],[],2,2
2,Flop,0,-4,4,DISCARD,0,2,3,"['8d', '9d', '9h', '9s', '5d']","['8h', '6s']","['8s', '7s', 'Ad']",[],"['3h', '3s', '3d']",2,2
2,Flop,1,-4,4,CHECK,0,0,0,"['9h', '9s']","['8h', '6s']","['8s', '7s', 'Ad']","['8d', '9d', '5d']","['3h', '3s', '3d']",2,2
