# Team 0: Uncountable Sean Jacksons, Team 1: if my_turn{fold()}
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,CALL,0,0,0,"['As', '3s', '8h', '9d', '2d']","['4d', '6d', '3d', '5d', 'Ah']",[],[],[],1,1
0,Pre-Flop,1,0,0,CHECK,0,0,0,"['As', '3s', '8h', '9d', '2d']","['4d', '6d', '3d', '5d', 'Ah']",[],[],[],2,2
0,Flop,1,0,0,DISCARD,0,1,2,"['As', '3s', '8h', '9d', '2d']","['4d', '6d', '3d', '5d', 'Ah']","['9h', '6s', '2h']",[],[],2,2
0,Flop,0,0,0,DISCARD,0,3,4,"['As', '3s', '8h', '9d', '2d']","['6d', '3d']","['9h', '6s', '2h']",[],"['4d', '5d', 'Ah']",2,2
0,Flop,1,0,0,CHECK,0,0,0,"['9d', '2d']","['6d', '3d']","['9h', '6s', '2h']","['As', '3s', '8h']","['4d', '5d', 'Ah']",2,2
0,Flop,0,0,0,RAISE,2,0,0,"['9d', '2d']","['6d', '3d']","['9h', '6s', '2h']","['As', '3s', '8h']","['4d', '5d', 'Ah']",2,2
0,Flop,1,0,0,CALL,0,0,0,"['9d', '2d']","['6d', '3d']","['9h', '6s', '2h']","['As', '3s', '8h']","['4d', '5d', 'Ah']",2,2
0,Turn,1,0,0,CHECK,0,0,0,"['9d', '2d']","['6d', '3d']","['9h', '6s', '2h', '2s']","['As', '3s', '8h']","['4d', '5d', 'Ah']",4,4
0,Turn,0,0,0,RAISE,5,0,0,"['9d', '2d']","['6d', '3d']","['9h', '6s', '2h', '2s']","['As', '3s', '8h']","['4d', '5d', 'Ah']",4,4
0,Turn,1,0,0,FOLD,0,0,0,"['9d', '2d']","['6d', '3d']","['9h', '6s', '2h', '2s']","['As', '3s', '8h']","['4d', '5d', 'Ah']",4,4
1,Pre-Flop,1,4,-4,RAISE,11,0,0,"['8d', '6h', '6d', '7h', '7d']","['8s', '5h', '5s', '9h', '7s']",[],[],[],1,1
1,Pre-Flop,0,4,-4,CALL,0,0,0,"['8d', '6h', '6d', '7h', '7d']","['8s', '5h', '5s', '9h', '7s']",[],[],[],2,2
1,Flop,0,4,-4,DISCARD,0,0,2,"['8d', '6h', '6d', '7h', '7d']","['8s', '5h', '5s', '9h', '7s']","['9s', '5d', 'Ad']",[],[],13,13
1,Flop,1,4,-4,DISCARD,0,1,2,"['8d', '6d']","['8s', '5h', '5s', '9h', '7s']","['9s', '5d', 'Ad']","['6h', '7h', '7d']",[],13,13
1,Flop,0,4,-4,RAISE,13,0,0,"['8d', '6d']","['5h', '5s']","['9s', '5d', 'Ad']","['6h', '7h', '7d']","['8s', '9h', '7s']",13,13
1,Flop,1,4,-4,RAISE,14,0,0,"['8d', '6d']","['5h', '5s']","['9s', '5d', 'Ad']","['6h', '7h', '7d']","['8s', '9h', '7s']",13,13
1,Flop,0,4,-4,RAISE,33,0,0,"['8d', '6d']","['5h', '5s']","['9s', '5d', 'Ad']","['6h', '7h', '7d']","['8s', '9h', '7s']",26,26
1,Flop,1,4,-4,RAISE,27,0,0,"['8d', '6d']","['5h', '5s']","['9s', '5d', 'Ad']","['6h', '7h', '7d']","['8s', '9h', '7s']",40,40
1,Flop,0,4,-4,CALL,0,0,0,"['8d', '6d']","['5h', '5s']","['9s', '5d', 'Ad']","['6h', '7h', '7d']","['8s', '9h', '7s']",73,73
1,Turn,0,4,-4,CHECK,0,0,0,"['8d', '6d']","['5h', '5s']","['9s', '5d', 'Ad', '2d']","['6h', '7h', '7d']","['8s', '9h', '7s']",100,100
1,Turn,1,4,-4,CHECK,0,0,0,"['8d', '6d']","['5h', '5s']","['9s', '5d', 'Ad', '2d']","['6h', '7h', '7d']","['8s', '9h', '7s']",100,100
1,River,0,4,-4,CHECK,0,0,0,"['8d', '6d']","['5h', '5s']","['9s', '5d', 'Ad', '2d', 'As']","['6h', '7h', '7d']","['8s', '9h', '7s']",100,100
1,River,1,4,-4,CHECK,0,0,0,"['8d', '6d']","['5h', '5s']","['9s', '5d', 'Ad', '2d', 'As']","['6h', '7h', '7d']","['8s', '9h', '7s']",100,100
2,Pre-Flop,0,-96,96,CALL,0,0,0,"['9h', '8h', '5s', '2h', '2s']","['6d', '2d', '4h', '4s', '9s']",[],[],[],1,1
2,Pre-Flop,1,-96,96,RAISE,12,0,0,"['9h', '8h', '5s', '2h', '2s']","['6d', '2d', '4h', '4s', '9s']",[],[],[],2,2
2,Pre-Flop,0,-96,96,FOLD,0,0,0,"['9h', '8h', '5s', '2h', '2s']","['6d', '2d', '4h', '4s', '9s']",[],[],[],2,2
3,Pre-Flop,1,-98,98,RAISE,10,0,0,"['5s', '3s', '9s', 'Ad', '5d']","['9d', '2s', '8h', '6h', '7d']",[],[],[],1,1
3,Pre-Flop,0,-98,98,CALL,0,0,0,"['5s', '3s', '9s', 'Ad', '5d']","['9d', '2s', '8h', '6h', '7d']",[],[],[],2,2
3,Flop,0,-98,98,DISCARD,0,1,2,"['5s', '3s', '9s', 'Ad', '5d']","['9d', '2s', '8h', '6h', '7d']","['9h', '7s', '4s']",[],[],12,12
