# Team 0: Uncountable Sean Jacksons, Team 1: jaeyong shim
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,CALL,0,0,0,"['9h', '4h', '5h', '3d', '8h']","['Ad', '7s', '2d', '5d', '2s']",[],[],[],1,1
0,Pre-Flop,1,0,0,CHECK,0,0,0,"['9h', '4h', '5h', '3d', '8h']","['Ad', '7s', '2d', '5d', '2s']",[],[],[],2,2
0,Flop,1,0,0,DISCARD,0,0,1,"['9h', '4h', '5h', '3d', '8h']","['Ad', '7s', '2d', '5d', '2s']","['7h', '6d', '8s']",[],[],2,2
0,Flop,0,0,0,DISCARD,0,0,2,"['9h', '4h', '5h', '3d', '8h']","['Ad', '7s']","['7h', '6d', '8s']",[],"['2d', '5d', '2s']",2,2
0,Flop,1,0,0,CHECK,0,0,0,"['9h', '5h']","['Ad', '7s']","['7h', '6d', '8s']","['4h', '3d', '8h']","['2d', '5d', '2s']",2,2
0,Flop,0,0,0,RAISE,3,0,0,"['9h', '5h']","['Ad', '7s']","['7h', '6d', '8s']","['4h', '3d', '8h']","['2d', '5d', '2s']",2,2
0,Flop,1,0,0,CALL,0,0,0,"['9h', '5h']","['Ad', '7s']","['7h', '6d', '8s']","['4h', '3d', '8h']","['2d', '5d', '2s']",2,2
0,Turn,1,0,0,CHECK,0,0,0,"['9h', '5h']","['Ad', '7s']","['7h', '6d', '8s', '6s']","['4h', '3d', '8h']","['2d', '5d', '2s']",5,5
0,Turn,0,0,0,RAISE,5,0,0,"['9h', '5h']","['Ad', '7s']","['7h', '6d', '8s', '6s']","['4h', '3d', '8h']","['2d', '5d', '2s']",5,5
0,Turn,1,0,0,CALL,0,0,0,"['9h', '5h']","['Ad', '7s']","['7h', '6d', '8s', '6s']","['4h', '3d', '8h']","['2d', '5d', '2s']",5,5
0,River,1,0,0,CHECK,0,0,0,"['9h', '5h']","['Ad', '7s']","['7h', '6d', '8s', '6s', '4d']","['4h', '3d', '8h']","['2d', '5d', '2s']",10,10
0,River,0,0,0,RAISE,13,0,0,"['9h', '5h']","['Ad', '7s']","['7h', '6d', '8s', '6s', '4d']","['4h', '3d', '8h']","['2d', '5d', '2s']",10,10
0,River,1,0,0,FOLD,0,0,0,"['9h', '5h']","['Ad', '7s']","['7h', '6d', '8s', '6s', '4d']","['4h', '3d', '8h']","['2d', '5d', '2s']",10,10
1,Pre-Flop,1,10,-10,RAISE,2,0,0,"['6s', '9d', '8s', '7d', '5h']","['Ad', '9h', '6d', '5d', '2d']",[],[],[],1,1
1,Pre-Flop,0,10,-10,RAISE,4,0,0,"['6s', '9d', '8s', '7d', '5h']","['Ad', '9h', '6d', '5d', '2d']",[],[],[],2,2
1,Pre-Flop,1,10,-10,RAISE,8,0,0,"['6s', '9d', '8s', '7d', '5h']","['Ad', '9h', '6d', '5d', '2d']",[],[],[],4,4
1,Pre-Flop,0,10,-10,RAISE,16,0,0,"['6s', '9d', '8s', '7d', '5h']","['Ad', '9h', '6d', '5d', '2d']",[],[],[],8,8
1,Pre-Flop,1,10,-10,RAISE,32,0,0,"['6s', '9d', '8s', '7d', '5h']","['Ad', '9h', '6d', '5d', '2d']",[],[],[],16,16
1,Pre-Flop,0,10,-10,RAISE,36,0,0,"['6s', '9d', '8s', '7d', '5h']","['Ad', '9h', '6d', '5d', '2d']",[],[],[],32,32
1,Pre-Flop,1,10,-10,CALL,0,0,0,"['6s', '9d', '8s', '7d', '5h']","['Ad', '9h', '6d', '5d', '2d']",[],[],[],64,64
