# Team 0: Captain Cooked, Team 1: Distraction Is All You Need
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,CALL,0,0,0,"['8h', '9d', '5d', '2h', '2d']","['7s', 'Ad', '6d', '9s', '8d']",[],[],[],1,1
0,Pre-Flop,1,0,0,CHECK,0,0,0,"['8h', '9d', '5d', '2h', '2d']","['7s', 'Ad', '6d', '9s', '8d']",[],[],[],2,2
0,Flop,1,0,0,DISCARD,0,1,2,"['8h', '9d', '5d', '2h', '2d']","['7s', 'Ad', '6d', '9s', '8d']","['7d', '6s', '3d']",[],[],2,2
0,Flop,0,0,0,DISCARD,0,0,1,"['8h', '9d', '5d', '2h', '2d']","['Ad', '6d']","['7d', '6s', '3d']",[],"['7s', '9s', '8d']",2,2
0,Flop,1,0,0,CHECK,0,0,0,"['8h', '9d']","['Ad', '6d']","['7d', '6s', '3d']","['5d', '2h', '2d']","['7s', '9s', '8d']",2,2
0,Flop,0,0,0,CHECK,0,0,0,"['8h', '9d']","['Ad', '6d']","['7d', '6s', '3d']","['5d', '2h', '2d']","['7s', '9s', '8d']",2,2
0,Turn,1,0,0,CHECK,0,0,0,"['8h', '9d']","['Ad', '6d']","['7d', '6s', '3d', '7h']","['5d', '2h', '2d']","['7s', '9s', '8d']",2,2
0,Turn,0,0,0,CHECK,0,0,0,"['8h', '9d']","['Ad', '6d']","['7d', '6s', '3d', '7h']","['5d', '2h', '2d']","['7s', '9s', '8d']",2,2
0,River,1,0,0,CHECK,0,0,0,"['8h', '9d']","['Ad', '6d']","['7d', '6s', '3d', '7h', 'As']","['5d', '2h', '2d']","['7s', '9s', '8d']",2,2
0,River,0,0,0,RAISE,76,0,0,"['8h', '9d']","['Ad', '6d']","['7d', '6s', '3d', '7h', 'As']","['5d', '2h', '2d']","['7s', '9s', '8d']",2,2
0,River,1,0,0,FOLD,0,0,0,"['8h', '9d']","['Ad', '6d']","['7d', '6s', '3d', '7h', 'As']","['5d', '2h', '2d']","['7s', '9s', '8d']",2,2
1,Pre-Flop,1,2,-2,CALL,0,0,0,"['8h', '2h', '3d', '6s', 'Ah']","['7h', '8s', '5h', '3s', 'Ad']",[],[],[],1,1
1,Pre-Flop,0,2,-2,CHECK,0,0,0,"['8h', '2h', '3d', '6s', 'Ah']","['7h', '8s', '5h', '3s', 'Ad']",[],[],[],2,2
1,Flop,0,2,-2,DISCARD,0,0,4,"['8h', '2h', '3d', '6s', 'Ah']","['7h', '8s', '5h', '3s', 'Ad']","['As', '9h', '4h']",[],[],2,2
1,Flop,1,2,-2,DISCARD,0,0,4,"['8h', 'Ah']","['7h', '8s', '5h', '3s', 'Ad']","['As', '9h', '4h']","['2h', '3d', '6s']",[],2,2
1,Flop,0,2,-2,RAISE,18,0,0,"['8h', 'Ah']","['7h', 'Ad']","['As', '9h', '4h']","['2h', '3d', '6s']","['8s', '5h', '3s']",2,2
1,Flop,1,2,-2,CALL,0,0,0,"['8h', 'Ah']","['7h', 'Ad']","['As', '9h', '4h']","['2h', '3d', '6s']","['8s', '5h', '3s']",2,2
1,Turn,0,2,-2,RAISE,8,0,0,"['8h', 'Ah']","['7h', 'Ad']","['As', '9h', '4h', '5s']","['2h', '3d', '6s']","['8s', '5h', '3s']",20,20
1,Turn,1,2,-2,CALL,0,0,0,"['8h', 'Ah']","['7h', 'Ad']","['As', '9h', '4h', '5s']","['2h', '3d', '6s']","['8s', '5h', '3s']",20,20
1,River,0,2,-2,CHECK,0,0,0,"['8h', 'Ah']","['7h', 'Ad']","['As', '9h', '4h', '5s', '4s']","['2h', '3d', '6s']","['8s', '5h', '3s']",28,28
1,River,1,2,-2,RAISE,28,0,0,"['8h', 'Ah']","['7h', 'Ad']","['As', '9h', '4h', '5s', '4s']","['2h', '3d', '6s']","['8s', '5h', '3s']",28,28
1,River,0,2,-2,FOLD,0,0,0,"['8h', 'Ah']","['7h', 'Ad']","['As', '9h', '4h', '5s', '4s']","['2h', '3d', '6s']","['8s', '5h', '3s']",28,28
2,Pre-Flop,0,-26,26,FOLD,0,0,0,"['3d', '7d', '5h', '9s', '4s']","['As', '8h', '2h', '8d', '2d']",[],[],[],1,1
3,Pre-Flop,1,-27,27,CALL,0,0,0,"['2h', '4d', '2d', '7d', 'Ah']","['5s', '4s', '6h', '3h', '2s']",[],[],[],1,1
3,Pre-Flop,0,-27,27,CHECK,0,0,0,"['2h', '4d', '2d', '7d', 'Ah']","['5s', '4s', '6h', '3h', '2s']",[],[],[],2,2
3,Flop,0,-27,27,DISCARD,0,1,4,"['2h', '4d', '2d', '7d', 'Ah']","['5s', '4s', '6h', '3h', '2s']","['6s', '3s', '9d']",[],[],2,2
