# Team 0: Distraction Is All You Need, Team 1: Ctrl+Alt+Defeat
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,CALL,0,0,0,"['9d', '5s', '2h', '4h', '4d']","['7s', 'Ad', '4s', '8h', '9s']",[],[],[],1,1
0,Pre-Flop,1,0,0,RAISE,11,0,0,"['9d', '5s', '2h', '4h', '4d']","['7s', 'Ad', '4s', '8h', '9s']",[],[],[],2,2
0,Pre-Flop,0,0,0,FOLD,0,0,0,"['9d', '5s', '2h', '4h', '4d']","['7s', 'Ad', '4s', '8h', '9s']",[],[],[],2,2
1,Pre-Flop,1,-2,2,RAISE,8,0,0,"['5h', 'Ad', '6h', '6d', '7h']","['4h', '5d', '6s', '9d', '8h']",[],[],[],1,1
1,Pre-Flop,0,-2,2,CALL,0,0,0,"['5h', 'Ad', '6h', '6d', '7h']","['4h', '5d', '6s', '9d', '8h']",[],[],[],2,2
1,Flop,0,-2,2,DISCARD,0,2,3,"['5h', 'Ad', '6h', '6d', '7h']","['4h', '5d', '6s', '9d', '8h']","['4d', '2h', '9s']",[],[],10,10
1,Flop,1,-2,2,DISCARD,0,0,3,"['6h', '6d']","['4h', '5d', '6s', '9d', '8h']","['4d', '2h', '9s']","['5h', 'Ad', '7h']",[],10,10
1,Flop,0,-2,2,CHECK,0,0,0,"['6h', '6d']","['4h', '9d']","['4d', '2h', '9s']","['5h', 'Ad', '7h']","['5d', '6s', '8h']",10,10
1,Flop,1,-2,2,RAISE,13,0,0,"['6h', '6d']","['4h', '9d']","['4d', '2h', '9s']","['5h', 'Ad', '7h']","['5d', '6s', '8h']",10,10
1,Flop,0,-2,2,FOLD,0,0,0,"['6h', '6d']","['4h', '9d']","['4d', '2h', '9s']","['5h', 'Ad', '7h']","['5d', '6s', '8h']",10,10
2,Pre-Flop,0,-12,12,RAISE,2,0,0,"['8h', 'Ad', '6d', '7s', 'As']","['4h', '2h', '2d', '6s', '5h']",[],[],[],1,1
2,Pre-Flop,1,-12,12,RAISE,9,0,0,"['8h', 'Ad', '6d', '7s', 'As']","['4h', '2h', '2d', '6s', '5h']",[],[],[],2,2
2,Pre-Flop,0,-12,12,CALL,0,0,0,"['8h', 'Ad', '6d', '7s', 'As']","['4h', '2h', '2d', '6s', '5h']",[],[],[],4,4
2,Flop,1,-12,12,DISCARD,0,0,3,"['8h', 'Ad', '6d', '7s', 'As']","['4h', '2h', '2d', '6s', '5h']","['6h', '4d', '8s']",[],[],13,13
2,Flop,0,-12,12,DISCARD,0,1,4,"['8h', 'Ad', '6d', '7s', 'As']","['4h', '6s']","['6h', '4d', '8s']",[],"['2h', '2d', '5h']",13,13
2,Flop,1,-12,12,RAISE,12,0,0,"['Ad', 'As']","['4h', '6s']","['6h', '4d', '8s']","['8h', '6d', '7s']","['2h', '2d', '5h']",13,13
2,Flop,0,-12,12,CALL,0,0,0,"['Ad', 'As']","['4h', '6s']","['6h', '4d', '8s']","['8h', '6d', '7s']","['2h', '2d', '5h']",13,13
2,Turn,1,-12,12,RAISE,28,0,0,"['Ad', 'As']","['4h', '6s']","['6h', '4d', '8s', '8d']","['8h', '6d', '7s']","['2h', '2d', '5h']",25,25
2,Turn,0,-12,12,CALL,0,0,0,"['Ad', 'As']","['4h', '6s']","['6h', '4d', '8s', '8d']","['8h', '6d', '7s']","['2h', '2d', '5h']",25,25
2,River,1,-12,12,RAISE,33,0,0,"['Ad', 'As']","['4h', '6s']","['6h', '4d', '8s', '8d', '5d']","['8h', '6d', '7s']","['2h', '2d', '5h']",53,53
2,River,0,-12,12,FOLD,0,0,0,"['Ad', 'As']","['4h', '6s']","['6h', '4d', '8s', '8d', '5d']","['8h', '6d', '7s']","['2h', '2d', '5h']",53,53
3,Pre-Flop,1,-65,65,RAISE,9,0,0,"['7h', '4d', '8h', '8s', '9d']","['Ah', '4s', '4h', '6s', '6h']",[],[],[],1,1
3,Pre-Flop,0,-65,65,CALL,0,0,0,"['7h', '4d', '8h', '8s', '9d']","['Ah', '4s', '4h', '6s', '6h']",[],[],[],2,2
3,Flop,0,-65,65,DISCARD,0,1,4,"['7h', '4d', '8h', '8s', '9d']","['Ah', '4s', '4h', '6s', '6h']","['3d', 'Ad', '2d']",[],[],11,11
3,Flop,1,-65,65,DISCARD,0,0,1,"['4d', '9d']","['Ah', '4s', '4h', '6s', '6h']","['3d', 'Ad', '2d']","['7h', '8h', '8s']",[],11,11
3,Flop,0,-65,65,RAISE,14,0,0,"['4d', '9d']","['Ah', '4s']","['3d', 'Ad', '2d']","['7h', '8h', '8s']","['4h', '6s', '6h']",11,11
