# Team 0: Jackbot, Team 1: Distraction Is All You Need
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,CALL,0,0,0,"['5s', '7d', '3d', '3s', '6s']","['2h', '6d', '5h', '7s', 'As']",[],[],[],1,1
0,Pre-Flop,1,0,0,CHECK,0,0,0,"['5s', '7d', '3d', '3s', '6s']","['2h', '6d', '5h', '7s', 'As']",[],[],[],2,2
0,Flop,1,0,0,DISCARD,0,3,4,"['5s', '7d', '3d', '3s', '6s']","['2h', '6d', '5h', '7s', 'As']","['4s', '9d', '2s']",[],[],2,2
0,Flop,0,0,0,DISCARD,0,0,3,"['5s', '7d', '3d', '3s', '6s']","['7s', 'As']","['4s', '9d', '2s']",[],"['2h', '6d', '5h']",2,2
0,Flop,1,0,0,CHECK,0,0,0,"['5s', '3s']","['7s', 'As']","['4s', '9d', '2s']","['7d', '3d', '6s']","['2h', '6d', '5h']",2,2
0,Flop,0,0,0,CHECK,0,0,0,"['5s', '3s']","['7s', 'As']","['4s', '9d', '2s']","['7d', '3d', '6s']","['2h', '6d', '5h']",2,2
0,Turn,1,0,0,RAISE,2,0,0,"['5s', '3s']","['7s', 'As']","['4s', '9d', '2s', 'Ad']","['7d', '3d', '6s']","['2h', '6d', '5h']",2,2
0,Turn,0,0,0,RAISE,3,0,0,"['5s', '3s']","['7s', 'As']","['4s', '9d', '2s', 'Ad']","['7d', '3d', '6s']","['2h', '6d', '5h']",2,2
0,Turn,1,0,0,CALL,0,0,0,"['5s', '3s']","['7s', 'As']","['4s', '9d', '2s', 'Ad']","['7d', '3d', '6s']","['2h', '6d', '5h']",4,4
0,River,1,0,0,RAISE,7,0,0,"['5s', '3s']","['7s', 'As']","['4s', '9d', '2s', 'Ad', '2d']","['7d', '3d', '6s']","['2h', '6d', '5h']",7,7
0,River,0,0,0,RAISE,12,0,0,"['5s', '3s']","['7s', 'As']","['4s', '9d', '2s', 'Ad', '2d']","['7d', '3d', '6s']","['2h', '6d', '5h']",7,7
0,River,1,0,0,CALL,0,0,0,"['5s', '3s']","['7s', 'As']","['4s', '9d', '2s', 'Ad', '2d']","['7d', '3d', '6s']","['2h', '6d', '5h']",14,14
1,Pre-Flop,1,26,-26,CALL,0,0,0,"['5s', 'As', '7h', '6d', '8s']","['Ad', '9h', '6h', '9d', '2h']",[],[],[],1,1
1,Pre-Flop,0,26,-26,RAISE,7,0,0,"['5s', 'As', '7h', '6d', '8s']","['Ad', '9h', '6h', '9d', '2h']",[],[],[],2,2
1,Pre-Flop,1,26,-26,CALL,0,0,0,"['5s', 'As', '7h', '6d', '8s']","['Ad', '9h', '6h', '9d', '2h']",[],[],[],2,2
1,Flop,0,26,-26,DISCARD,0,1,4,"['5s', 'As', '7h', '6d', '8s']","['Ad', '9h', '6h', '9d', '2h']","['3h', '2s', '3s']",[],[],9,9
1,Flop,1,26,-26,DISCARD,0,1,3,"['As', '8s']","['Ad', '9h', '6h', '9d', '2h']","['3h', '2s', '3s']","['5s', '7h', '6d']",[],9,9
1,Flop,0,26,-26,CHECK,0,0,0,"['As', '8s']","['9h', '9d']","['3h', '2s', '3s']","['5s', '7h', '6d']","['Ad', '6h', '2h']",9,9
1,Flop,1,26,-26,CHECK,0,0,0,"['As', '8s']","['9h', '9d']","['3h', '2s', '3s']","['5s', '7h', '6d']","['Ad', '6h', '2h']",9,9
1,Turn,0,26,-26,CHECK,0,0,0,"['As', '8s']","['9h', '9d']","['3h', '2s', '3s', '4d']","['5s', '7h', '6d']","['Ad', '6h', '2h']",9,9
1,Turn,1,26,-26,CHECK,0,0,0,"['As', '8s']","['9h', '9d']","['3h', '2s', '3s', '4d']","['5s', '7h', '6d']","['Ad', '6h', '2h']",9,9
1,River,0,26,-26,RAISE,14,0,0,"['As', '8s']","['9h', '9d']","['3h', '2s', '3s', '4d', '7s']","['5s', '7h', '6d']","['Ad', '6h', '2h']",9,9
1,River,1,26,-26,FOLD,0,0,0,"['As', '8s']","['9h', '9d']","['3h', '2s', '3s', '4d', '7s']","['5s', '7h', '6d']","['Ad', '6h', '2h']",9,9
2,Pre-Flop,0,35,-35,RAISE,7,0,0,"['9h', '8d', '9d', '6d', 'Ad']","['5d', '4h', '8s', '3h', '2d']",[],[],[],1,1
2,Pre-Flop,1,35,-35,FOLD,0,0,0,"['9h', '8d', '9d', '6d', 'Ad']","['5d', '4h', '8s', '3h', '2d']",[],[],[],2,2
3,Pre-Flop,1,37,-37,CALL,0,0,0,"['2d', '3d', '3h', '8s', '7d']","['7s', '7h', 'As', '4s', '6d']",[],[],[],1,1
3,Pre-Flop,0,37,-37,RAISE,7,0,0,"['2d', '3d', '3h', '8s', '7d']","['7s', '7h', 'As', '4s', '6d']",[],[],[],2,2
3,Pre-Flop,1,37,-37,CALL,0,0,0,"['2d', '3d', '3h', '8s', '7d']","['7s', '7h', 'As', '4s', '6d']",[],[],[],2,2
3,Flop,0,37,-37,DISCARD,0,3,4,"['2d', '3d', '3h', '8s', '7d']","['7s', '7h', 'As', '4s', '6d']","['5s', 'Ah', '9h']",[],[],9,9
3,Flop,1,37,-37,DISCARD,0,1,2,"['8s', '7d']","['7s', '7h', 'As', '4s', '6d']","['5s', 'Ah', '9h']","['2d', '3d', '3h']",[],9,9
3,Flop,0,37,-37,CHECK,0,0,0,"['8s', '7d']","['7h', 'As']","['5s', 'Ah', '9h']","['2d', '3d', '3h']","['7s', '4s', '6d']",9,9
3,Flop,1,37,-37,RAISE,9,0,0,"['8s', '7d']","['7h', 'As']","['5s', 'Ah', '9h']","['2d', '3d', '3h']","['7s', '4s', '6d']",9,9
3,Flop,0,37,-37,FOLD,0,0,0,"['8s', '7d']","['7h', 'As']","['5s', 'Ah', '9h']","['2d', '3d', '3h']","['7s', '4s', '6d']",9,9
4,Pre-Flop,0,28,-28,RAISE,7,0,0,"['6h', '8s', '4d', '2s', '3d']","['Ah', '9d', 'Ad', '8h', '6s']",[],[],[],1,1
4,Pre-Flop,1,28,-28,CALL,0,0,0,"['6h', '8s', '4d', '2s', '3d']","['Ah', '9d', 'Ad', '8h', '6s']",[],[],[],2,2
4,Flop,1,28,-28,DISCARD,0,0,2,"['6h', '8s', '4d', '2s', '3d']","['Ah', '9d', 'Ad', '8h', '6s']","['5s', '9s', '5d']",[],[],9,9
4,Flop,0,28,-28,DISCARD,0,1,3,"['6h', '8s', '4d', '2s', '3d']","['Ah', 'Ad']","['5s', '9s', '5d']",[],"['9d', '8h', '6s']",9,9
4,Flop,1,28,-28,RAISE,9,0,0,"['8s', '2s']","['Ah', 'Ad']","['5s', '9s', '5d']","['6h', '4d', '3d']","['9d', '8h', '6s']",9,9
4,Flop,0,28,-28,FOLD,0,0,0,"['8s', '2s']","['Ah', 'Ad']","['5s', '9s', '5d']","['6h', '4d', '3d']","['9d', '8h', '6s']",9,9
5,Pre-Flop,1,19,-19,CALL,0,0,0,"['6h', '4d', '4h', 'Ad', '2h']","['3s', '6s', '8s', '7s', '9s']",[],[],[],1,1
5,Pre-Flop,0,19,-19,RAISE,7,0,0,"['6h', '4d', '4h', 'Ad', '2h']","['3s', '6s', '8s', '7s', '9s']",[],[],[],2,2
5,Pre-Flop,1,19,-19,CALL,0,0,0,"['6h', '4d', '4h', 'Ad', '2h']","['3s', '6s', '8s', '7s', '9s']",[],[],[],2,2
5,Flop,0,19,-19,DISCARD,0,1,2,"['6h', '4d', '4h', 'Ad', '2h']","['3s', '6s', '8s', '7s', '9s']","['5d', 'Ah', '4s']",[],[],9,9
5,Flop,1,19,-19,DISCARD,0,1,3,"['4d', '4h']","['3s', '6s', '8s', '7s', '9s']","['5d', 'Ah', '4s']","['6h', 'Ad', '2h']",[],9,9
5,Flop,0,19,-19,CHECK,0,0,0,"['4d', '4h']","['6s', '7s']","['5d', 'Ah', '4s']","['6h', 'Ad', '2h']","['3s', '8s', '9s']",9,9
5,Flop,1,19,-19,CHECK,0,0,0,"['4d', '4h']","['6s', '7s']","['5d', 'Ah', '4s']","['6h', 'Ad', '2h']","['3s', '8s', '9s']",9,9
5,Turn,0,19,-19,RAISE,10,0,0,"['4d', '4h']","['6s', '7s']","['5d', 'Ah', '4s', '5s']","['6h', 'Ad', '2h']","['3s', '8s', '9s']",9,9
5,Turn,1,19,-19,CALL,0,0,0,"['4d', '4h']","['6s', '7s']","['5d', 'Ah', '4s', '5s']","['6h', 'Ad', '2h']","['3s', '8s', '9s']",9,9
5,River,0,19,-19,RAISE,30,0,0,"['4d', '4h']","['6s', '7s']","['5d', 'Ah', '4s', '5s', '9h']","['6h', 'Ad', '2h']","['3s', '8s', '9s']",19,19
5,River,1,19,-19,FOLD,0,0,0,"['4d', '4h']","['6s', '7s']","['5d', 'Ah', '4s', '5s', '9h']","['6h', 'Ad', '2h']","['3s', '8s', '9s']",19,19
6,Pre-Flop,0,38,-38,CALL,0,0,0,"['3h', '2h', '8d', '9h', '2s']","['4d', '6s', '7s', '6d', '9s']",[],[],[],1,1
6,Pre-Flop,1,38,-38,CHECK,0,0,0,"['3h', '2h', '8d', '9h', '2s']","['4d', '6s', '7s', '6d', '9s']",[],[],[],2,2
6,Flop,1,38,-38,DISCARD,0,2,4,"['3h', '2h', '8d', '9h', '2s']","['4d', '6s', '7s', '6d', '9s']","['8h', '7h', '8s']",[],[],2,2
6,Flop,0,38,-38,DISCARD,0,2,3,"['3h', '2h', '8d', '9h', '2s']","['7s', '9s']","['8h', '7h', '8s']",[],"['4d', '6s', '6d']",2,2
6,Flop,1,38,-38,CHECK,0,0,0,"['8d', '9h']","['7s', '9s']","['8h', '7h', '8s']","['3h', '2h', '2s']","['4d', '6s', '6d']",2,2
6,Flop,0,38,-38,RAISE,3,0,0,"['8d', '9h']","['7s', '9s']","['8h', '7h', '8s']","['3h', '2h', '2s']","['4d', '6s', '6d']",2,2
6,Flop,1,38,-38,CALL,0,0,0,"['8d', '9h']","['7s', '9s']","['8h', '7h', '8s']","['3h', '2h', '2s']","['4d', '6s', '6d']",2,2
6,Turn,1,38,-38,CHECK,0,0,0,"['8d', '9h']","['7s', '9s']","['8h', '7h', '8s', '4s']","['3h', '2h', '2s']","['4d', '6s', '6d']",5,5
6,Turn,0,38,-38,RAISE,8,0,0,"['8d', '9h']","['7s', '9s']","['8h', '7h', '8s', '4s']","['3h', '2h', '2s']","['4d', '6s', '6d']",5,5
6,Turn,1,38,-38,CALL,0,0,0,"['8d', '9h']","['7s', '9s']","['8h', '7h', '8s', '4s']","['3h', '2h', '2s']","['4d', '6s', '6d']",5,5
6,River,1,38,-38,RAISE,13,0,0,"['8d', '9h']","['7s', '9s']","['8h', '7h', '8s', '4s', '2d']","['3h', '2h', '2s']","['4d', '6s', '6d']",13,13
6,River,0,38,-38,RAISE,23,0,0,"['8d', '9h']","['7s', '9s']","['8h', '7h', '8s', '4s', '2d']","['3h', '2h', '2s']","['4d', '6s', '6d']",13,13
6,River,1,38,-38,CALL,0,0,0,"['8d', '9h']","['7s', '9s']","['8h', '7h', '8s', '4s', '2d']","['3h', '2h', '2s']","['4d', '6s', '6d']",26,26
7,Pre-Flop,1,87,-87,CALL,0,0,0,"['4d', '7h', '2d', '8d', 'Ad']","['5h', '6d', '3s', '7s', '4h']",[],[],[],1,1
7,Pre-Flop,0,87,-87,RAISE,7,0,0,"['4d', '7h', '2d', '8d', 'Ad']","['5h', '6d', '3s', '7s', '4h']",[],[],[],2,2
7,Pre-Flop,1,87,-87,CALL,0,0,0,"['4d', '7h', '2d', '8d', 'Ad']","['5h', '6d', '3s', '7s', '4h']",[],[],[],2,2
7,Flop,0,87,-87,DISCARD,0,3,4,"['4d', '7h', '2d', '8d', 'Ad']","['5h', '6d', '3s', '7s', '4h']","['8h', '9h', 'As']",[],[],9,9
7,Flop,1,87,-87,DISCARD,0,1,3,"['8d', 'Ad']","['5h', '6d', '3s', '7s', '4h']","['8h', '9h', 'As']","['4d', '7h', '2d']",[],9,9
7,Flop,0,87,-87,CHECK,0,0,0,"['8d', 'Ad']","['6d', '7s']","['8h', '9h', 'As']","['4d', '7h', '2d']","['5h', '3s', '4h']",9,9
7,Flop,1,87,-87,RAISE,9,0,0,"['8d', 'Ad']","['6d', '7s']","['8h', '9h', 'As']","['4d', '7h', '2d']","['5h', '3s', '4h']",9,9
7,Flop,0,87,-87,CALL,0,0,0,"['8d', 'Ad']","['6d', '7s']","['8h', '9h', 'As']","['4d', '7h', '2d']","['5h', '3s', '4h']",9,9
7,Turn,0,87,-87,RAISE,28,0,0,"['8d', 'Ad']","['6d', '7s']","['8h', '9h', 'As', 'Ah']","['4d', '7h', '2d']","['5h', '3s', '4h']",18,18
7,Turn,1,87,-87,CALL,0,0,0,"['8d', 'Ad']","['6d', '7s']","['8h', '9h', 'As', 'Ah']","['4d', '7h', '2d']","['5h', '3s', '4h']",18,18
7,River,0,87,-87,RAISE,54,0,0,"['8d', 'Ad']","['6d', '7s']","['8h', '9h', 'As', 'Ah', '2h']","['4d', '7h', '2d']","['5h', '3s', '4h']",46,46
7,River,1,87,-87,FOLD,0,0,0,"['8d', 'Ad']","['6d', '7s']","['8h', '9h', 'As', 'Ah', '2h']","['4d', '7h', '2d']","['5h', '3s', '4h']",46,46
8,Pre-Flop,0,133,-133,CALL,0,0,0,"['2d', '3s', '7d', '3d', 'Ah']","['Ad', '9s', '7h', '4h', '9h']",[],[],[],1,1
