# Team 0: Distraction Is All You Need, Team 1: WW
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,CALL,0,0,0,"['2h', '2d', '9d', '6d', '5s']","['4s', '9s', '8s', '4h', '7d']",[],[],[],1,1
0,Pre-Flop,1,0,0,CHECK,0,0,0,"['2h', '2d', '9d', '6d', '5s']","['4s', '9s', '8s', '4h', '7d']",[],[],[],2,2
0,Flop,1,0,0,DISCARD,0,1,2,"['2h', '2d', '9d', '6d', '5s']","['4s', '9s', '8s', '4h', '7d']","['6h', 'As', '3s']",[],[],2,2
0,Flop,0,0,0,DISCARD,0,2,3,"['2h', '2d', '9d', '6d', '5s']","['9s', '8s']","['6h', 'As', '3s']",[],"['4s', '4h', '7d']",2,2
0,Flop,1,0,0,CHECK,0,0,0,"['9d', '6d']","['9s', '8s']","['6h', 'As', '3s']","['2h', '2d', '5s']","['4s', '4h', '7d']",2,2
0,Flop,0,0,0,CHECK,0,0,0,"['9d', '6d']","['9s', '8s']","['6h', 'As', '3s']","['2h', '2d', '5s']","['4s', '4h', '7d']",2,2
0,Turn,1,0,0,CHECK,0,0,0,"['9d', '6d']","['9s', '8s']","['6h', 'As', '3s', '8h']","['2h', '2d', '5s']","['4s', '4h', '7d']",2,2
0,Turn,0,0,0,CHECK,0,0,0,"['9d', '6d']","['9s', '8s']","['6h', 'As', '3s', '8h']","['2h', '2d', '5s']","['4s', '4h', '7d']",2,2
0,River,1,0,0,CHECK,0,0,0,"['9d', '6d']","['9s', '8s']","['6h', 'As', '3s', '8h', '4d']","['2h', '2d', '5s']","['4s', '4h', '7d']",2,2
0,River,0,0,0,CHECK,0,0,0,"['9d', '6d']","['9s', '8s']","['6h', 'As', '3s', '8h', '4d']","['2h', '2d', '5s']","['4s', '4h', '7d']",2,2
1,Pre-Flop,1,-2,2,RAISE,5,0,0,"['6h', '4h', '2h', '9h', '2s']","['2d', '3d', '5d', 'As', '8h']",[],[],[],1,1
1,Pre-Flop,0,-2,2,FOLD,0,0,0,"['6h', '4h', '2h', '9h', '2s']","['2d', '3d', '5d', 'As', '8h']",[],[],[],2,2
2,Pre-Flop,0,-4,4,CALL,0,0,0,"['4h', 'Ad', 'Ah', '8h', '6d']","['6s', 'As', '7d', '9s', '7s']",[],[],[],1,1
2,Pre-Flop,1,-4,4,RAISE,6,0,0,"['4h', 'Ad', 'Ah', '8h', '6d']","['6s', 'As', '7d', '9s', '7s']",[],[],[],2,2
2,Pre-Flop,0,-4,4,CALL,0,0,0,"['4h', 'Ad', 'Ah', '8h', '6d']","['6s', 'As', '7d', '9s', '7s']",[],[],[],2,2
2,Flop,1,-4,4,DISCARD,0,3,4,"['4h', 'Ad', 'Ah', '8h', '6d']","['6s', 'As', '7d', '9s', '7s']","['5h', '3d', '9h']",[],[],8,8
2,Flop,0,-4,4,DISCARD,0,0,2,"['4h', 'Ad', 'Ah', '8h', '6d']","['9s', '7s']","['5h', '3d', '9h']",[],"['6s', 'As', '7d']",8,8
